190,JNL/MellonEnergySector,9000,15%,17%,223.2304,44.640734,9965.17,1.107,2022-09-09
222,JNL/MellonNasdaq®100Index,9000,15%,16%,153.7046,60.632496,9319.49,1.035,2022-09-09
635,JNL/MellonUtilitiesSector,6000,10%,11%,288.4467,22.005867,6347.52,1.058,2022-09-09
-999,JacksonFunds,60000,100%,102%,81,759.314,61504.44,1.025,2022-09-12
66,JNL/BlackRock®GlobalNaturalResources,9000,15%,15%,738.3417,12.00027,8860.3,0.984,2022-09-12
115,JNL/DFAU.S.CoreEquity,6000,10%,10%,109.3638,55.400104,6058.77,1.01,2022-09-12
365,JNL/InvescoDiversifiedDividend,9000,15%,15%,671.7813,13.221928,8882.24,0.987,2022-09-12
368,JNL/MellonConsumerStaplesSector,6000,10%,9%,394.1159,14.311592,5640.43,0.94,2022-09-12
190,JNL/MellonEnergySector,9000,15%,17%,223.2304,45.417339,10138.53,1.127,2022-09-12
222,JNL/MellonNasdaq®100Index,9000,15%,16%,153.7046,61.352305,9430.13,1.048,2022-09-12
635,JNL/MellonUtilitiesSector,6000,10%,11%,288.4467,22.210415,6406.52,1.068,2022-09-12
-999,JacksonFunds,60000,100%,99%,81,733.798,59437.6,0.991,2022-09-13
66,JNL/BlackRock®GlobalNaturalResources,9000,15%,14%,738.3417,11.716555,8650.82,0.961,2022-09-13
115,JNL/DFAU.S.CoreEquity,6000,10%,10%,109.3638,53.13034,5810.54,0.968,2022-09-13
365,JNL/InvescoDiversifiedDividend,9000,15%,14%,671.7813,12.809618,8605.26,0.956,2022-09-13
368,JNL/MellonConsumerStaplesSector,6000,10%,9%,394.1159,13.825913,5449.01,0.908,2022-09-13
190,JNL/MellonEnergySector,9000,15%,16%,223.2304,44.312979,9892.0,1.099,2022-09-13
222,JNL/MellonNasdaq®100Index,9000,15%,15%,153.7046,57.954932,8907.94,0.99,2022-09-13
635,JNL/MellonUtilitiesSector,6000,10%,10%,288.4467,21.623337,6237.18,1.04,2022-09-13
-999,JacksonFunds,60000,100%,100%,81,740.669,59994.18,1.0,2022-09-14
66,JNL/BlackRock®GlobalNaturalResources,9000,15%,15%,738.3417,11.784636,8701.09,0.967,2022-09-14
115,JNL/DFAU.S.CoreEquity,6000,10%,10%,109.3638,53.262307,5824.97,0.971,2022-09-14
365,JNL/InvescoDiversifiedDividend,9000,15%,14%,671.7813,12.868115,8644.56,0.961,2022-09-14
368,JNL/MellonConsumerStaplesSector,6000,10%,9%,394.1159,13.816019,5445.11,0.908,2022-09-14
190,JNL/MellonEnergySector,9000,15%,17%,223.2304,45.670444,10195.03,1.133,2022-09-14
222,JNL/MellonNasdaq®100Index,9000,15%,15%,153.7046,58.436512,8981.96,0.998,2022-09-14
635,JNL/MellonUtilitiesSector,6000,10%,10%,288.4467,21.807369,6290.26,1.048,2022-09-14
-999,JacksonFunds,60000,100%,98%,81,729.565,59094.8,0.985,2022-09-15
66,JNL/BlackRock®GlobalNaturalResources,9000,15%,14%,738.3417,11.569342,8542.13,0.949,2022-09-15
115,JNL/DFAU.S.CoreEquity,6000,10%,10%,109.3638,52.753856,5769.36,0.962,2022-09-15
365,JNL/InvescoDiversifiedDividend,9000,15%,14%,671.7813,12.799108,8598.2,0.955,2022-09-15
368,JNL/MellonConsumerStaplesSector,6000,10%,9%,394.1159,13.710977,5403.71,0.901,2022-09-15
190,JNL/MellonEnergySector,9000,15%,17%,223.2304,44.485426,9930.5,1.103,2022-09-15
222,JNL/MellonNasdaq®100Index,9000,15%,15%,153.7046,57.441759,8829.06,0.981,2022-09-15
635,JNL/MellonUtilitiesSector,6000,10%,10%,288.4467,21.285494,6139.73,1.023,2022-09-15
-999,JacksonFunds,60000,100%,98%,81,722.324,58508.25,0.975,2022-09-16
66,JNL/BlackRock®GlobalNaturalResources,9000,15%,14%,738.3417,11.412687,8426.46,0.936,2022-09-16
115,JNL/DFAU.S.CoreEquity,6000,10%,10%,109.3638,52.245433,5713.76,0.952,2022-09-16
365,JNL/InvescoDiversifiedDividend,9000,15%,14%,671.7813,12.700682,8532.08,0.948,2022-09-16
368,JNL/MellonConsumerStaplesSector,6000,10%,9%,394.1159,13.729631,5411.07,0.902,2022-09-16
190,JNL/MellonEnergySector,9000,15%,16%,223.2304,43.448439,9699.01,1.078,2022-09-16
222,JNL/MellonNasdaq®100Index,9000,15%,15%,153.7046,57.118091,8779.31,0.975,2022-09-16
635,JNL/MellonUtilitiesSector,6000,10%,10%,288.4467,21.208893,6117.64,1.02,2022-09-16
-999,JacksonFunds,60000,100%,98%,81,728.094,58975.65,0.983,2022-09-19
66,JNL/BlackRock®GlobalNaturalResources,9000,15%,14%,738.3417,11.587615,8555.62,0.951,2022-09-19
115,JNL/DFAU.S.CoreEquity,6000,10%,10%,109.3638,52.694714,5762.89,0.96,2022-09-19
365,JNL/InvescoDiversifiedDividend,9000,15%,14%,671.7813,12.758478,8570.91,0.952,2022-09-19
368,JNL/MellonConsumerStaplesSector,6000,10%,9%,394.1159,13.823641,5448.12,0.908,2022-09-19
190,JNL/MellonEnergySector,9000,15%,16%,223.2304,43.52557,9716.23,1.08,2022-09-19
222,JNL/MellonNasdaq®100Index,9000,15%,15%,153.7046,57.55624,8846.66,0.983,2022-09-19
635,JNL/MellonUtilitiesSector,6000,10%,10%,288.4467,21.489478,6198.57,1.033,2022-09-19
